species	pathway	partial_spearman_rho_study_adjusted	partial_spearman_p	partial_spearman_fdr_q	response_effect_vector_spearman_rho	common_effect_studies	response_effect_sign_agreement	concordant_positive	concordant_inverse
species:Ruminococcus bromii	PWY-6151: S-adenosyl-L-methionine cycle I	0.15199772033115247	0.012238041808691308	0.07340464996798485	-0.5	5	0.4	0	0
species:Ruminococcus bromii	1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.03501390755091979	0.566026445021101	0.7717893874334661	-0.6	5	0.4	0	0
species:Ruminococcus bromii	PWY-5097: L-lysine biosynthesis VI	0.11307361527191172	0.06305718853507285	0.21412823652938986	-0.6	5	0.4	0	0
species:Ruminococcus bromii	BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.055857809408221396	0.3596666136637915	0.6091775740503581	-0.8	5	0.4	0	0
species:Ruminococcus bromii	GLUTORN-PWY: L-ornithine biosynthesis	0.19609116662704273	0.0011757243679396334	0.013472999872462676	-0.3	5	0.6	0	0
species:Ruminococcus bromii	PWY-6700: queuosine biosynthesis	0.18450577323908973	0.0022919777660111627	0.022107116206443886	-0.6	5	0.4	0	0
species:Ruminococcus bromii	PWY-5103: L-isoleucine biosynthesis III	0.04114229120664933	0.5000299970269649	0.7257060478306695	-0.8	5	0.4	0	0
species:Ruminococcus bromii	PWY-5667: CDP-diacylglycerol biosynthesis I	0.05722594454757656	0.34800153787842303	0.5981331521177242	-0.6	5	0.4	0	0
species:Ruminococcus bromii	PWY0-1319: CDP-diacylglycerol biosynthesis II	0.057080146165229356	0.349233141152459	0.5993254030040337	-0.6	5	0.4	0	0
species:Ruminococcus bromii	PWY-4242: pantothenate and coenzyme A biosynthesis III	0.00690210430937509	0.9099519751011732	0.9619094674342507	-0.8	5	0.4	0	0
species:Ruminococcus bromii	GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	0.06589574822754136	0.2797229374939329	0.5290948305334511	-0.3	5	0.6	0	0
species:Ruminococcus bromii	COA-PWY: coenzyme A biosynthesis I	0.020839632571902564	0.7327159315837777	0.8734954051943611	-0.8	5	0.4	0	0
species:Ruminococcus bromii	PWY-2942: L-lysine biosynthesis III	0.044501194196651696	0.4656607912795161	0.6990556434386765	-0.8	5	0.4	0	0
species:Ruminococcus bromii	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	-0.03915735008106344	0.5209524394892904	0.7409873437141306	-0.6	5	0.4	0	0
species:Ruminococcus bromii	PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	0.12712206464909692	0.03648213608839359	0.15172129536209414	-0.8	5	0.4	0	0
species:Ruminococcus bromii	HISTSYN-PWY: L-histidine biosynthesis	0.11447943161474498	0.05982921473260769	0.20715557635877094	-0.6	5	0.4	0	0
species:Ruminococcus bromii	PWY0-1296: purine ribonucleosides degradation	0.04317035583058645	0.4791199163930735	0.7094866481518552	-0.5	5	0.6	0	0
species:Ruminococcus bromii	PWY-6123: inosine-5'-phosphate biosynthesis I	-0.009834739367154602	0.871970709638312	0.9440868761844604	-0.5	5	0.4	0	0
species:Ruminococcus bromii	PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	-0.07083827653210734	0.24514795530976233	0.4897543617786021	-0.6	5	0.4	0	0
species:Ruminococcus bromii	PWY66-422: D-galactose degradation V (Leloir pathway)	0.055127318695394355	0.3659938127361738	0.6150930778436696	-0.3	5	0.6	0	0
species:Ruminococcus bromii	PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation	0.017639225160607567	0.7725365713063932	0.8945543452765263	-0.5	5	0.4	0	0
species:Ruminococcus bromii	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)	-0.042351093410291994	0.48750919746582855	0.7159419141441743	0.1	5	0.6	0	0
species:Ruminococcus bromii	PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	-0.0347805638911307	0.5686191816460263	0.7732670559957171	-0.6	5	0.4	0	0
species:Ruminococcus bromii	HSERMETANA-PWY: L-methionine biosynthesis III	0.026036742712340792	0.6695905664827333	0.8367317344994141	-0.3	5	0.6	0	0
species:Ruminococcus bromii	PWY-6124: inosine-5'-phosphate biosynthesis II	-0.011359356541312813	0.8523347870110101	0.9346077959982596	-0.6	5	0.4	0	0
species:Ruminococcus bromii	PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	-0.08515256270442943	0.16215853121405013	0.38398901503676636	-0.6	5	0.4	0	0
species:Ruminococcus bromii	SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	0.02964774736480015	0.6270278955998786	0.8111806636906159	-0.5	5	0.4	0	0
species:Ruminococcus bromii	PANTO-PWY: phosphopantothenate biosynthesis I	-0.059706209487127	0.32747185672246015	0.5784783881988019	-0.6	5	0.4	0	0
species:Ruminococcus bromii	RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)	0.030243546407413235	0.6201176071664534	0.8070059348400396	-0.6	5	0.4	0	0
species:Ruminococcus bromii	TRPSYN-PWY: L-tryptophan biosynthesis	0.20513656732272487	0.0006798773154010372	0.008989559666133453	-0.3	5	0.6	0	0
species:Ruminococcus bromii	PWY-3001: superpathway of L-isoleucine biosynthesis I	-0.014875646191099738	0.8074123731244679	0.9129250651319631	-0.8	5	0.4	0	0
species:Ruminococcus bromii	PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)	-0.020229635397458905	0.740254447713247	0.8773319535628192	-0.6	5	0.4	0	0
species:Ruminococcus bromii	PWY-6168: flavin biosynthesis III (fungi)	0.07862952119041532	0.1969045838260699	0.43159552468523293	-0.3	5	0.4	0	0
species:Ruminococcus bromii	PWY-6936: seleno-amino acid biosynthesis	0.0054783571050134134	0.9284708271362005	0.9692145116502633	-0.5	5	0.4	0	0
species:Ruminococcus bromii	PWY-1861: formaldehyde assimilation II (RuMP Cycle)	0.004971159765315552	0.9350778467578126	0.9718445733770109	-0.8	5	0.2	0	0
species:Ruminococcus bromii	PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast)	0.030871138030390953	0.6128744871838153	0.8026747426276907	-0.3	5	0.6	0	0
species:Ruminococcus bromii	PWY-6317: galactose degradation I (Leloir pathway)	0.03422278724051119	0.5748395396887052	0.7775547561252976	-0.3	5	0.6	0	0
species:Ruminococcus bromii	PWY-5100: pyruvate fermentation to acetate and lactate II	-0.00863749977801039	0.8874460703043967	0.951130754151462	-0.3	5	0.6	0	0
species:Ruminococcus bromii	PWY-7199: pyrimidine deoxyribonucleosides salvage	0.04970186043363799	0.4151194393442199	0.6585264721253152	-0.6	5	0.4	0	0
species:Ruminococcus bromii	PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	-0.18462958655199913	0.0022761393455775656	0.0219912888415717	-0.09999999999999998	5	0.4	0	0
species:Ruminococcus bromii	PWY-5104: L-isoleucine biosynthesis IV	-0.06375094231231673	0.29570604443053194	0.5461266568472379	-0.3	5	0.6	0	0
species:Ruminococcus bromii	PWY-6892: thiazole biosynthesis I (E. coli)	-0.08757394061076046	0.15050533675875874	0.366657470688613	-0.5	5	0.4	0	0
species:Ruminococcus bromii	PWY-6527: stachyose degradation	0.06398092031989562	0.2939637159252314	0.5443615861809681	-0.3	5	0.6	0	0
species:Ruminococcus bromii	PWY-7237: myo-, chiro- and scillo-inositol degradation	-0.09070424161855387	0.13639525713277328	0.34588101544852295	-0.5	5	0.4	0	0
species:Ruminococcus bromii	THRESYN-PWY: superpathway of L-threonine biosynthesis	-0.07819088246785275	0.19942202840342002	0.43495958193670203	-0.9	5	0.4	0	0
species:Ruminococcus bromii	PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	-0.1957602494931194	0.0011989885434261962	0.013668019644069383	-0.7999999999999999	5	0.4	0	0
species:Ruminococcus bromii	PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	-0.1957602494931194	0.0011989885434261962	0.013668019644069383	-0.7999999999999999	5	0.4	0	0
species:Ruminococcus bromii	ANAEROFRUCAT-PWY: homolactic fermentation	0.04227120948554147	0.48833141024092996	0.7166121673747827	-0.6	5	0.4	0	0
species:Ruminococcus bromii	PWY-6897: thiamin salvage II	-0.06489318877720575	0.2871198613546019	0.5371112239850541	-0.6	5	0.4	0	0
species:Ruminococcus bromii	THISYN-PWY: superpathway of thiamin diphosphate biosynthesis I	-0.016151373672605468	0.7912610587930089	0.9042199342232043	-0.09999999999999998	5	0.6	0	0
species:Ruminococcus bromii	PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	0.29346111526799756	8.772735711427637e-07	4.0051965132429806e-05	-0.3	5	0.6	0	0
species:Ruminococcus bromii	PWY-5973: cis-vaccenate biosynthesis	-0.09000450077816426	0.1394577850726172	0.3505606162583956	-0.09999999999999998	5	0.6	0	0
species:Ruminococcus bromii	PWY-6703: preQ0 biosynthesis	-0.009216708648354267	0.8799535912131204	0.9478480974939036	-0.5	5	0.4	0	0
species:Ruminococcus bromii	OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	0.04085776461078882	0.5030016052261607	0.7277972053442914	-0.8	5	0.4	0	0
species:Ruminococcus bromii	DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	-0.13401425158738467	0.027389931246145246	0.12583387541849814	-0.5	5	0.4	0	0
species:Ruminococcus bromii	COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.04145573220450455	0.4967671598705179	0.7231640192619435	-0.6	5	0.4	0	0
species:Ruminococcus bromii	PWY-621: sucrose degradation III (sucrose invertase)	0.015032346519822479	0.8054239184213119	0.9118186395061461	0.1	5	0.8	0	0
species:Ruminococcus bromii	PWY-841: superpathway of purine nucleotides de novo biosynthesis I	-0.11516870343685717	0.05829704778957848	0.2038498334222174	-0.5	5	0.4	0	0
species:Ruminococcus bromii	GLUCONEO-PWY: gluconeogenesis I	-0.008151130798713546	0.8937453627444726	0.9543767322187766	-0.5	5	0.4	0	0
species:Ruminococcus bromii	PWY-7663: gondoate biosynthesis (anaerobic)	-0.11894940921705396	0.05045890497566836	0.18641156277398194	0.2	5	0.6	0	0
species:Ruminococcus bromii	PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II	-0.06406493580074817	0.2933289199601679	0.5436176215141441	-0.6	5	0.4	0	0
species:Ruminococcus bromii	MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	-0.02250335892908044	0.7122869536719463	0.8622433177185409	-0.3	5	0.6	0	0
species:Ruminococcus bromii	PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	-0.06432839337494815	0.2913442482535212	0.5417908549436834	-0.5	5	0.4	0	0
species:Ruminococcus bromii	ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	-0.15318262658418252	0.011570903279504358	0.07056041369920885	-0.2	5	0.4	0	0
species:Ruminococcus bromii	PWY66-400: glycolysis VI (metazoan)	-0.006949951638556299	0.9093304066052117	0.9616697967391068	-0.5	5	0.4	0	0
species:Ruminococcus bromii	PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	-0.04103217972979066	0.5011789062256722	0.7265118389350512	-0.3	5	0.6	0	0
species:Ruminococcus bromii	METSYN-PWY: L-homoserine and L-methionine biosynthesis	-0.03008395433229171	0.6219653780687262	0.8080202515109843	-0.3	5	0.6	0	0
species:Ruminococcus bromii	LACTOSECAT-PWY: lactose and galactose degradation I	-0.007484440421492651	0.9023908812209146	0.958443626803236	-0.9	5	0.0	0	1
species:Ruminococcus bromii	PWY-6353: purine nucleotides degradation II (aerobic)	0.030212230329109135	0.620479999902684	0.8071300375145641	1.0125574449829841e-18	5	0.8	0	0
species:Ruminococcus bromii	PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis	0.018908648232375747	0.7566639904567164	0.8864779130759171	0.2	5	0.6	0	0
species:Ruminococcus bromii	PWY-6305: putrescine biosynthesis IV	0.026466329414411318	0.664467929836585	0.833709021764548	0.2	5	0.6	0	0
species:Ruminococcus bromii	GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0.008380434111716578	0.8907746458492045	0.9529050891250909	-0.6	5	0.4	0	0
species:Ruminococcus bromii	THISYNARA-PWY: superpathway of thiamin diphosphate biosynthesis III (eukaryotes)	-0.12412868372227158	0.04116403572956215	0.16384160119891172	-0.8	5	0.4	0	0
species:Ruminococcus bromii	PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	-0.17799656171639525	0.0032803949078334844	0.028875004625760217	-0.6	5	0.4	0	0
species:Ruminococcus bromii	PWY-6608: guanosine nucleotides degradation III	0.01773280493940865	0.7713631434668828	0.8941656444087843	-1.0125574449829841e-18	5	0.4	0	0
species:Ruminococcus bromii	PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	-0.03381538943240405	0.5794029934122276	0.780789235530231	-0.09999999999999998	5	0.4	0	0
species:Ruminococcus bromii	PWY-7234: inosine-5'-phosphate biosynthesis III	-0.00831908387057915	0.8915693153380652	0.9531951176271157	-0.09999999999999998	5	0.6	0	0
species:Ruminococcus bromii	PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	-0.10364835784721894	0.08857370233167383	0.2660954072624512	0.2	5	0.6	0	0
species:Ruminococcus bromii	HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	0.02184075213585454	0.7203995052641023	0.8663395957281166	0.2	5	0.6	0	0
species:Ruminococcus bromii	PWY0-1261: anhydromuropeptides recycling	-0.0003370365863254574	0.9955935643210214	0.9983218774657715	0.2	5	0.6	0	0
species:Ruminococcus bromii	PWY-5484: glycolysis II (from fructose 6-phosphate)	-0.02673736107353416	0.6612439748687712	0.8320137842065621	-0.6	5	0.4	0	0
species:Ruminococcus bromii	GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	-0.13559670051110054	0.025601436879574568	0.1206315400399396	-0.6	5	0.4	0	0
species:Ruminococcus bromii	PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	-0.17288543421026675	0.004311510862803396	0.03512354467585095	-0.6	5	0.4	0	0
species:Ruminococcus bromii	UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	0.033613745619507966	0.5816679377552298	0.7826802141807461	-0.8	5	0.4	0	0
species:Ruminococcus bromii	PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	-0.06003700161387425	0.3247941393051765	0.5757120774422801	0.2	5	0.4	0	0
species:Ruminococcus bromii	RHAMCAT-PWY: L-rhamnose degradation I	-0.17718635602519175	0.0034272924222088375	0.02981409344950748	-0.2	5	0.6	0	0
species:Ruminococcus bromii	P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	-0.014487983113137726	0.8123369331552306	0.9151200555608502	0.2	5	0.6	0	0
species:Ruminococcus bromii	PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)	0.20849546950030604	0.0005514286291054026	0.007676602284259956	0.2	5	0.8	0	0
species:Ruminococcus bromii	PWY-5177: glutaryl-CoA degradation	0.14858661945265317	0.014351462325977574	0.08214701762019185	-0.3	5	0.8	0	0
species:Ruminococcus bromii	PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)	-0.07824786544579122	0.19909367529772837	0.43453543715897874	-0.8	5	0.2	0	1
species:Ruminococcus bromii	METH-ACETATE-PWY: methanogenesis from acetate	0.03604436131814311	0.554644819376642	0.7641568325431675	-0.3	5	0.4	0	0
species:Ruminococcus bromii	PWY66-399: gluconeogenesis III	0.20289804661503946	0.0007802793424337224	0.009954662757700844	0.2	5	0.8	0	0
species:Ruminococcus bromii	P441-PWY: superpathway of N-acetylneuraminate degradation	0.05098305451188491	0.4031822989353755	0.6484730436015005	-1.0125574449829841e-18	5	0.8	0	0
species:Ruminococcus bromii	PWYG-321: mycolate biosynthesis	-0.06525770429989435	0.28441540497953055	0.5341671234143173	0.3	5	0.6	0	0
species:Ruminococcus bromii	FASYN-ELONG-PWY: fatty acid elongation -- saturated	-0.07120303105595165	0.24272003326537273	0.48713444129354344	0.3	5	0.4	0	0
species:Ruminococcus bromii	PWY-5659: GDP-mannose biosynthesis	-0.05563981660643391	0.3615475822980644	0.6109909403957645	-0.09999999999999998	5	0.6	0	0
species:Ruminococcus bromii	PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)	-0.028382479345979483	0.6418107379767435	0.819819370050515	-0.2	5	0.6	0	0
species:Ruminococcus bromii	CITRULBIO-PWY: L-citrulline biosynthesis	-0.05976440454445164	0.3269997455557976	0.5779754425258999	-0.2	5	0.6	0	0
species:Ruminococcus bromii	DAPLYSINESYN-PWY: L-lysine biosynthesis I	-0.03984364638124306	0.5136681145232227	0.7355035309733078	-0.6	5	0.4	0	0
species:Ruminococcus bromii	PWY-7664: oleate biosynthesis IV (anaerobic)	-0.06773595902705995	0.26648355298379095	0.5146017668096768	0.3	5	0.6	0	0
species:Ruminococcus bromii	PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	0.04513369487660526	0.45933812689933456	0.6944636505889399	0.1	5	0.6	0	0
species:Ruminococcus bromii	SALVADEHYPOX-PWY: adenosine nucleotides degradation II	0.029739999190660872	0.6259557741655609	0.8104608902377162	1.0125574449829841e-18	5	0.8	0	0
species:Ruminococcus bromii	PWY-6901: superpathway of glucose and xylose degradation	-0.09261243505577903	0.12830599158870298	0.3341425896846221	-0.5	5	0.4	0	0
species:Ruminococcus bromii	HISDEG-PWY: L-histidine degradation I	0.005735165867258919	0.9251273413378662	0.9678905578503443	0.10000000000000003	5	0.4	0	0
species:Ruminococcus bromii	PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I	-0.134700359948004	0.02660173489588127	0.12360492393638053	-0.5	5	0.4	0	0
species:Ruminococcus bromii	PWY-7208: superpathway of pyrimidine nucleobases salvage	-0.13501820325539363	0.02624325239281103	0.12249445458929252	-0.5	5	0.4	0	0
species:Ruminococcus bromii	PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	-0.005036240352656294	0.9342298144376854	0.9716396189114901	-0.6	5	0.4	0	0
species:Ruminococcus bromii	PWY0-862: (5Z)-dodec-5-enoate biosynthesis	-0.07076485079198028	0.2456387419914987	0.4903184708176654	0.3	5	0.6	0	0
species:Ruminococcus bromii	PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	-0.07179430252975706	0.23882015208819618	0.4826578874448489	-0.6	5	0.4	0	0
species:Ruminococcus bromii	PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	-0.055490055175782635	0.3628433578798375	0.6121810562377537	-0.6	5	0.4	0	0
species:Ruminococcus bromii	FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	-0.036370568199915895	0.5510651158359682	0.7619249951228363	0.3	5	0.6	0	0
species:Ruminococcus bromii	PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	-0.06836088390394442	0.2620866826912111	0.5094984769042176	0.3	5	0.6	0	0
species:Ruminococcus bromii	BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	-0.03858324132669502	0.5270863880000294	0.7453917738059513	0.3	5	0.4	0	0
species:Ruminococcus bromii	P164-PWY: purine nucleobases degradation I (anaerobic)	0.04380390190073011	0.47268650297622594	0.70469655884089	-0.2	5	0.4	0	0
species:Ruminococcus bromii	PWY-5989: stearate biosynthesis II (bacteria and plants)	-0.07583141218261923	0.2133653472867256	0.4525099504532568	-0.3	5	0.4	0	0
species:Ruminococcus bromii	PWY-4984: urea cycle	0.01435767550629513	0.8139939254414406	0.9160032329282664	-0.09999999999999998	5	0.4	0	0
species:Ruminococcus bromii	PWY-6606: guanosine nucleotides degradation II	0.0309034216396374	0.6125029044256478	0.8024447023142129	-0.2	5	0.6	0	0
species:Ruminococcus bromii	HOMOSER-METSYN-PWY: L-methionine biosynthesis I	-0.03303360140458558	0.5882071978314487	0.7865397921914913	-0.5	5	0.6	0	0
species:Ruminococcus bromii	PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	-0.04817244513314771	0.42963782389742855	0.6706549456524522	0.3	5	0.6	0	0
species:Ruminococcus bromii	PWY-7196: superpathway of pyrimidine ribonucleosides salvage	0.03009661266178944	0.6218187320842481	0.8079844217306523	-0.3	5	0.4	0	0
species:Ruminococcus bromii	PWY-6519: 8-amino-7-oxononanoate biosynthesis I	-0.03850496338209255	0.5279255630760779	0.7459591803849644	0.3	5	0.4	0	0
species:Ruminococcus bromii	PPGPPMET-PWY: ppGpp biosynthesis	0.05923373205715925	0.3313211370309683	0.5821455772388284	-0.3	5	0.6	0	0
species:Ruminococcus bromii	PWY-4981: L-proline biosynthesis II (from arginine)	-0.06553369064186419	0.2823792134725763	0.5318018870455625	-0.9	5	0.4	0	0
species:Ruminococcus bromii	PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)	-0.11891066962661213	0.050534526756220256	0.18658160616179553	-0.2	5	0.4	0	0
species:Ruminococcus bromii	PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	-0.10231421163431682	0.0927759337653446	0.2737307985485311	0.2	5	0.4	0	0
species:Ruminococcus bromii	PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)	-0.10246602721566157	0.0922898723313558	0.272773516951384	0.2	5	0.4	0	0
species:Ruminococcus bromii	PWY66-409: superpathway of purine nucleotide salvage	-0.08999333651245547	0.13950707038062132	0.35059235685391577	-0.5	5	0.4	0	0
species:Ruminococcus bromii	COLANSYN-PWY: colanic acid building blocks biosynthesis	0.030551150260209606	0.616562871171882	0.8047484070769452	0.2	5	0.4	0	0
species:Ruminococcus bromii	PWY-5971: palmitate biosynthesis II (bacteria and plants)	-0.00047821095295966763	0.9937478745675415	0.9975431516765109	-0.2	5	0.6	0	0
species:Ruminococcus bromii	TEICHOICACID-PWY: teichoic acid (poly-glycerol) biosynthesis	0.05483279491314653	0.3685642690022655	0.6171204868428952	-0.5	5	0.2	0	0
species:Ruminococcus bromii	PENTOSE-P-PWY: pentose phosphate pathway	-0.13277080594249954	0.02886951198990007	0.13055819653447717	-0.2	5	0.4	0	0
species:Ruminococcus bromii	P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	-0.05147288992702913	0.39867299374524484	0.6443648079661256	-0.6	5	0.4	0	0
species:Ruminococcus bromii	GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff	-0.005485878722602881	0.9283728823442666	0.9691580987214842	-0.6	5	0.2	0	1
species:Ruminococcus bromii	PWY-7456: mannan degradation	0.17484012027143536	0.0038868825446860557	0.03256563335781191	-0.09999999999999998	5	0.6	0	0
species:Ruminococcus bromii	TCA: TCA cycle I (prokaryotic)	0.025426597857181273	0.676892582878595	0.8408327854216135	0.4	5	1.0	0	0
